time,{controller}.c.spring_measure,{spring}.s.springforce,{wind}.w.windforce,{md}.m.x
0.5850000000000004,-0.0019462999,-0.0028931458670035577,0.21221541518447937,5.2776311274868834E-5
0.5860000000000004,-0.0019527231,-0.002902697120117786,0.21223619148321754,5.295023401741691E-5
0.5870000000000004,-0.0019591574,-0.00291226287095793,0.21225696724576038,5.312442024711918E-5
0.5880000000000004,-0.0019656028,-0.002921843113591555,0.21227774247119746,5.3298869856153914E-5
0.5890000000000004,-0.0019720593,-0.002931437842088465,0.21229851715861842,5.347358273673387E-5
0.5900000000000004,-0.0019785232,-0.0029410470505203627,0.2123192913071129,5.364855878110632E-5
0.5910000000000004,-0.0019849982,-0.0029506707329608477,0.21234006491577057,5.382379788155301E-5
0.5920000000000004,-0.0019914806,-0.0029603088834854155,0.21236083798368108,5.399929993039633E-5
0.5930000000000004,-0.0019979741,-0.0029699614961717982,0.2123816105099342,5.417506481999309E-5
0.5940000000000004,-0.0020044787,-0.00297962856509962,0.21240238249361965,5.4351092442740686E-5
0.5950000000000004,-0.0020109907,-0.0029893100843507376,0.21242315393382716,5.4527382691070925E-5
0.5960000000000004,-0.0020175138,-0.002999006048008901,0.21244392482964658,5.470393545744999E-5
0.5970000000000004,-0.0020240443,-0.003008716450159749,0.21246469518016767,5.488075063438459E-5
0.5980000000000004,-0.0020305896,-0.0030184412848911525,0.21248546498448026,5.505782811441577E-5
0.5990000000000004,-0.0020371386,-0.0030281805462928674,0.21250623424167425,5.523516779012507E-5
0.6000000000000004,-0.0020437024,-0.003037934228456879,0.2125270029508395,5.541276955412216E-5
0.6010000000000004,-0.0020502736,-0.0030477023254767187,0.21254777111106593,5.559063329906331E-5
0.6020000000000004,-0.0020568522,-0.003057484831448482,0.21256853872144343,5.576875891763291E-5
0.6030000000000004,-0.0020634456,-0.0030672817404698103,0.21258930578106197,5.594714630255575E-5
0.6040000000000004,-0.0020700427,-0.0030770930466405663,0.21261007228901158,5.6125795346596995E-5
0.6050000000000004,-0.0020766546,-0.003086918744062835,0.21263083824438217,5.6304705942549854E-5
0.6060000000000004,-0.0020832739,-0.003096758826840242,0.21265160364626384,5.648387798325405E-5
0.6070000000000004,-0.0020899043,-0.003106613289078973,0.21267236849374663,5.6663311361577305E-5
0.6080000000000004,-0.0020965421,-0.003116482124886752,0.21269313278592059,5.684300597042764E-5
0.6090000000000004,-0.002103191,-0.00312636532837352,0.21271389652187583,5.7022961702747206E-5
0.6100000000000004,-0.002109851,-0.003136262893651096,0.21273465970070246,5.720317845151842E-5
0.6110000000000004,-0.0021165184,-0.003146174814833513,0.21275542232149067,5.738365610975779E-5
0.6120000000000004,-0.0021231969,-0.0031561010860366783,0.2127761843833306,5.756439457051587E-5
0.6130000000000004,-0.0021298828,-0.0031660417013783726,0.21279694588531245,5.774539372688344E-5
0.6140000000000004,-0.0021365798,-0.0031759966549785895,0.21281770682652645,5.7926653471985305E-5
0.6150000000000004,-0.0021432879,-0.003185965940959192,0.21283846720606284,5.810817369898642E-5
0.6160000000000004,-0.0021500034,-0.003195949553444253,0.21285922702301188,5.828995430108575E-5
0.6170000000000004,-0.00215673,-0.0032059474865597164,0.2128799862764639,5.847199517151621E-5
0.6180000000000004,-0.002163464,-0.0032159597344333913,0.2129007449655092,5.865429620355082E-5
0.6190000000000004,-0.0021702091,-0.003225986291195295,0.2129215030892381,5.8836857290496544E-5
0.6200000000000004,-0.0021769653,-0.00323602715097731,0.21294226064674102,5.9019678325700404E-5
0.6210000000000004,-0.0021837289,-0.0032460823079135223,0.21296301763710832,5.920275920254331E-5
0.6220000000000004,-0.0021905036,-0.0032561517561398817,0.21298377405943042,5.9386099814440035E-5
0.6230000000000004,-0.0021972857,-0.003266235489794202,0.21300452991279778,5.9569700054845376E-5
0.6240000000000004,-0.0022040789,-0.003276333503016496,0.21302528519630085,5.9753559817247946E-5
0.6250000000000004,-0.0022108832,-0.003286445789948637,0.21304603990903015,5.993767899517634E-5
0.6260000000000004,-0.0022176949,-0.003296572344734699,0.21306679405007617,6.0122057482192927E-5
0.6270000000000004,-0.0022245177,-0.003306713161520611,0.2130875476185295,6.0306695171893854E-5
0.6280000000000004,-0.0022313479,-0.003316868234454162,0.21310830061348066,6.049159195791518E-5
0.6290000000000004,-0.0022381892,-0.003327037557685335,0.21312905303402024,6.0676747733926696E-5
0.6300000000000004,-0.0022450379,-0.0033372211253659685,0.2131498048792389,6.086216239363806E-5
0.6310000000000004,-0.0022519014,-0.0033474189316500935,0.21317055614822727,6.104783583079263E-5
0.6320000000000005,-0.0022587686,-0.0033576309706935944,0.21319130684007603,6.123376793917358E-5
0.6330000000000005,-0.0022656506000000003,-0.0033678572366545472,0.21321205695387585,6.14199586125916E-5
0.6340000000000005,-0.00227254,-0.003378097723692538,0.21323280648871748,6.16064077449033E-5
0.6350000000000005,-0.0022794367999999995,-0.0033883524259696817,0.21325355544369162,6.179311522999278E-5
0.6360000000000005,-0.0022863447000000003,-0.003398621337649603,0.2132743038178891,6.198008096178385E-5
0.6370000000000005,-0.0022932637,-0.0034089044528981117,0.2132950516104007,6.21673048342401E-5
0.6380000000000005,-0.0023001900999999997,-0.0034192017658832056,0.2133157988203172,6.235478674135866E-5
0.6390000000000005,-0.0023071275999999997,-0.0034295132707747263,0.21333654544672948,6.254252657717017E-5
0.6400000000000005,-0.0023140725,-0.0034398389617443592,0.21335729148872842,6.273052423574497E-5
0.6410000000000005,-0.0023210285,-0.0034501788329659735,0.21337803694540491,6.29187796111869E-5
0.6420000000000005,-0.0023279956,-0.003460532878615279,0.2133987818158499,6.310729259763941E-5
0.6430000000000005,-0.0023349701,-0.003470901092870168,0.2134195260991543,6.329606308927945E-5
0.6440000000000005,-0.0023419557000000004,-0.0034812834699103697,0.2134402697944091,6.348509098031736E-5
0.6450000000000005,-0.0023489487,-0.003491680003917455,0.21346101290070532,6.367437616500309E-5
0.6460000000000005,-0.0023559528,-0.00350209068907517,0.21348175541713396,6.386391853761996E-5
0.6470000000000005,-0.0023629643,-0.0035125155195690977,0.2135024973427861,6.405371799249085E-5
0.6480000000000005,-0.0023699869,-0.003522954489586997,0.2135232386767528,6.424377442397201E-5
0.6490000000000005,-0.0023770206000000003,-0.003533407593318461,0.2135439794181252,6.443408772645917E-5
0.6500000000000005,-0.0023840616999999996,-0.003543874824955254,0.21356471956599438,6.462465779438137E-5
0.6510000000000005,-0.0023911139,-0.003554356178690975,0.2135854591194515,6.481548452220097E-5
0.6520000000000005,-0.0023981735,-0.0035648516487210534,0.2136061980775878,6.500656780441978E-5
0.6530000000000005,-0.0024052442,-0.003575361229243088,0.21362693643949443,6.519790753557285E-5
0.6540000000000005,-0.0024123223000000003,-0.0035858849144565067,0.21364767420426267,6.538950361023463E-5
0.6550000000000005,-0.0024194115,-0.0035964226985629047,0.21366841137098375,6.558135592301282E-5
0.6560000000000005,-0.0024265118,-0.003606974575765705,0.213689147938749,6.577346436855446E-5
0.6570000000000005,-0.0024336195000000003,-0.003617540540270495,0.21370988390664966,6.596582884153978E-5
0.6580000000000005,-0.0024407345999999997,-0.0036281205862846878,0.21373061927377715,6.615844923668217E-5
0.6590000000000005,-0.0024478608,-0.003638714708017519,0.2137513540392228,6.635132544873433E-5
0.6600000000000005,-0.0024549981,-0.0036493228996803883,0.213772088202078,6.654445737248825E-5
0.6610000000000005,-0.0024621465,-0.003659945155486854,0.21379282176143416,6.673784490276903E-5
0.6620000000000005,-0.0024692985999999997,-0.0036705814696522967,0.21381355471638275,6.693148793443484E-5
0.6630000000000005,-0.0024764655,-0.003681231836393916,0.21383428706601526,6.712538636237693E-5
0.6640000000000005,-0.0024836398000000004,-0.0036918962499307307,0.21385501880942315,6.731954008153189E-5
0.6650000000000005,-0.0024908215,-0.003702574704484254,0.21387574994569794,6.751394898686323E-5
0.6660000000000005,-0.0024980143,-0.0037132671942774775,0.21389648047393123,6.770861297337358E-5
0.6670000000000005,-0.0025052182,-0.003723973713535547,0.21391721039321457,6.790353193610476E-5
0.6680000000000005,-0.0025124295,-0.0037346942564857617,0.21393793970263955,6.809870577013153E-5
0.6690000000000005,-0.0025196519,-0.0037454288173572343,0.21395866840129782,6.82941343705616E-5
0.6700000000000005,-0.0025268817,-0.003756177390380888,0.21397939648828104,6.848981763254179E-5
0.6710000000000005,-0.0025341226,-0.0037669399697897983,0.21400012396268092,6.868575545125183E-5
0.6720000000000005,-0.0025413746,-0.0037777165498188506,0.21402085082358913,6.88819477219105E-5
0.6730000000000005,-0.0025486303,-0.003788507124705078,0.21404157707009744,6.907839433976945E-5
0.6740000000000005,-0.0025559008,-0.0037993116886873195,0.21406230270129759,6.927509520011316E-5
0.6750000000000005,-0.0025631787,-0.003810130236006224,0.21408302771628138,6.947205019827132E-5
0.6760000000000005,-0.0025704676999999997,-0.0038209627609049226,0.21410375211414065,6.966925922960024E-5
0.6770000000000005,-0.0025777641,-0.0038318092576280134,0.21412447589396724,6.986672218949519E-5
0.6780000000000005,-0.0025850679,-0.0038426697204222353,0.21414519905485302,7.006443897338421E-5
0.6790000000000005,-0.0025923828,-0.0038535441435361317,0.21416592159588987,7.026240947673428E-5
0.6800000000000005,-0.0025997088,-0.0038644325212203855,0.21418664351616978,7.046063359505128E-5
0.6810000000000005,-0.0026070422,-0.00387533484772782,0.21420736481478464,7.065911122387377E-5
0.6820000000000005,-0.0026143867,-0.003886251117313057,0.21422808549082648,7.085784225877304E-5
0.6830000000000005,-0.0026217386,-0.003897181324232517,0.21424880554338727,7.105682659535922E-5
0.6840000000000005,-0.0026291016,-0.003908125462744758,0.2142695249715591,7.125606412927509E-5
0.6850000000000005,-0.0026364757000000003,-0.00391908352711013,0.21429024377443398,7.145555475620224E-5
0.6860000000000005,-0.0026438572,-0.003930055511591123,0.21431096195110405,7.165529837185488E-5
0.6870000000000005,-0.0026512461,-0.003941041410452019,0.2143316795006614,7.185529487197982E-5
0.6880000000000005,-0.0026586461,-0.0039520412179588895,0.21435239642219817,7.205554415236261E-5
0.6890000000000005,-0.0026660535,-0.003963054928379944,0.21437311271480658,7.225604610882755E-5
0.6900000000000005,-0.0026734719999999997,-0.003974082535985515,0.21439382837757878,7.245680063723147E-5
0.6910000000000005,-0.0026809016,-0.003985124035047731,0.21441454340960706,7.265780763346986E-5
0.6920000000000005,-0.0026883386,-0.0039961794198408425,0.2144352578099836,7.285906699347076E-5
0.6930000000000005,-0.0026957866999999997,-0.004007248684640892,0.21445597157780077,7.306057861319469E-5
0.6940000000000005,-0.0027032422,-0.004018331823725708,0.2144766847121508,7.326234238864077E-5
0.6950000000000005,-0.0027107051,-0.004029428831375243,0.21449739721212613,7.346435821584059E-5
0.6960000000000005,-0.0027181828,-0.004040539701871232,0.21451810907681904,7.366662599086432E-5
